iter	MultiClass
0	1.09310125
1	1.090015705
2	1.085775409
3	1.083607138
4	1.081875935
5	1.080414577
6	1.076957471
7	1.073743547
8	1.07015067
9	1.068738548
10	1.066061889
11	1.06383586
12	1.060311121
13	1.059493628
14	1.054382948
15	1.051730554
16	1.048211148
17	1.04512406
18	1.041811888
19	1.038872658
20	1.036086059
21	1.033894741
22	1.031250118
23	1.02935408
24	1.027803014
25	1.026022155
26	1.025564538
27	1.024512104
28	1.022364716
29	1.020302028
30	1.019418872
31	1.018036528
32	1.017120729
33	1.016965424
34	1.015578244
35	1.013920912
36	1.013783773
37	1.013447498
38	1.012245932
39	1.011255851
40	1.009824552
41	1.008045977
42	1.006660867
43	1.00624069
44	1.003958113
45	1.002966627
46	1.002311722
47	1.001452888
48	1.000021069
49	0.9998450373
50	0.9988436661
51	0.9973480428
52	0.9963319611
53	0.9957688006
54	0.994602459
55	0.9938295151
56	0.9934451693
57	0.9924882718
58	0.9917960866
59	0.9911720772
60	0.9901732302
61	0.989229497
62	0.988180053
63	0.986972618
64	0.9868235563
65	0.9858124632
66	0.9852940563
67	0.9851853407
68	0.9843417047
69	0.9840478824
70	0.9832254419
71	0.9831213263
72	0.9829291581
73	0.9827779724
74	0.9817079709
75	0.981221411
76	0.9809300855
77	0.9807826376
78	0.9798345836
79	0.9790919682
80	0.9784577096
81	0.9774977839
82	0.9772368055
83	0.9770584029
84	0.9757842792
85	0.9756184892
86	0.9752057836
87	0.9737482647
88	0.9731595244
89	0.973050732
90	0.9721826258
91	0.9721023743
92	0.9714347132
93	0.9712774459
94	0.9710499562
95	0.9708677296
96	0.9707285857
97	0.9701098311
98	0.9693523487
99	0.9691836244
100	0.968586513
101	0.9682111016
102	0.9681252006
103	0.9679162794
104	0.9677780021
105	0.9676503299
106	0.9672800095
107	0.9671154917
108	0.9670212247
109	0.9662057534
110	0.9661136295
111	0.9654328732
112	0.9651656126
113	0.9650839457
114	0.9648216176
115	0.9641187983
116	0.9639559416
117	0.9638335125
118	0.9636480187
119	0.9629075105
120	0.9620949921
121	0.9619580496
122	0.9614235896
123	0.9609536857
124	0.9607670065
125	0.9600525217
126	0.9599073216
127	0.9596775738
128	0.9590273753
129	0.9588361825
130	0.9586870668
131	0.9582169747
132	0.9571448618
133	0.9564846029
134	0.9563463755
135	0.9562353339
136	0.9556047264
137	0.9538698477
138	0.9537097363
139	0.9535396533
140	0.9530609952
141	0.9525126736
142	0.9512269401
143	0.9510693943
144	0.9499513178
145	0.9492693966
146	0.94859682
147	0.9483757994
148	0.9482053193
149	0.9479951106
150	0.9478197316
151	0.9470281327
152	0.9460295251
153	0.9457982095
154	0.9453517744
155	0.944882677
156	0.9447307735
157	0.9440502444
158	0.9421186419
159	0.9420057073
160	0.9417937284
161	0.940378139
162	0.9401776096
163	0.9396404258
164	0.9391093459
165	0.9389142603
166	0.9384950943
167	0.9373583452
168	0.9369805347
169	0.9368067425
170	0.9361233965
171	0.9354373222
172	0.9349570233
173	0.9347507006
174	0.9345600224
175	0.9338092834
176	0.9337333657
177	0.9332601067
178	0.9327420978
179	0.9326109966
180	0.9324431081
181	0.9318738389
182	0.9317174911
183	0.9316024291
184	0.9314933771
185	0.9312796399
186	0.9311210963
187	0.9308930242
188	0.9307860827
189	0.9306224348
190	0.929571724
191	0.9294105234
192	0.9287303049
193	0.9281270157
194	0.9276830839
195	0.9275422711
196	0.9268447331
197	0.9264134532
198	0.9262661325
199	0.9257886335
